Sn Oxide,,SnSiO2 0.13%,,SnSiO2 0.5%,,SnSiO2 2%,,SnSiO2 6%,
wavelength (nm),intensity,wavelength (nm),intensity,wavelength (nm),intensity,wavelength (nm),intensity,wavelength (nm),intensity
215.6800096843,0.1036308128,215.6800096843,5.3402914138,215.6800096843,1.3617736496,215.6800096843,0.1760996816,215.6800096843,0.2331693288
216.1500097066,0.1612197341,216.1500097066,6.1403003373,216.1500097066,1.6954064648,216.1500097066,0.2490351362,216.1500097066,0.3290198655
216.6100097251,0.2257001149,216.6100097251,6.9325220379,216.6100097251,1.998800742,216.6100097251,0.3612053661,216.6100097251,0.4332826274
217.0800097453,0.3197152585,217.0800097453,7.7048735019,217.0800097453,2.3780473771,217.0800097453,0.4775993367,217.0800097453,0.5683826817
217.5500097667,0.4221085291,217.5500097667,8.4149199627,217.5500097667,2.7504287746,217.5500097667,0.6007478728,217.5500097667,0.6923411363
218.0200097893,0.5465458918,218.0200097893,9.2565146671,218.0200097893,3.2089358646,218.0200097893,0.7769683461,218.0200097893,0.8487307919
218.4900098121,0.7053308858,218.4900098121,9.9187155817,218.4900098121,3.6787719923,218.4900098121,0.9526346296,218.4900098121,1.0549372329
218.9600098323,0.8835257421,218.9600098323,11.0855611905,218.9600098323,4.2482082567,218.9600098323,1.1574713053,218.9600098323,1.2953739115
219.4200098505,1.0927570965,219.4200098505,12.0369628742,219.4200098505,4.7572370009,219.4200098505,1.4214941912,219.4200098505,1.5594258394
219.8900098723,1.3491370914,219.8900098723,13.1854020346,219.8900098723,5.3182439859,219.8900098723,1.681811484,219.8900098723,1.8773021988
220.3600098943,1.5884118174,220.3600098943,14.466399846,220.3600098943,6.0178318886,220.3600098943,2.0103337064,220.3600098943,2.173049681
220.8300099141,1.9544076301,220.8300099141,15.6229043403,220.8300099141,6.7282234513,220.8300099141,2.4186665223,220.8300099141,2.6327652727
221.3000099372,2.3737509961,221.3000099372,16.7269012342,221.3000099372,7.598012048,221.3000099372,2.9007943413,221.3000099372,3.0750943648
221.7600099562,2.7758673102,221.7600099562,18.0548281425,221.7600099562,8.3550155114,221.7600099562,3.4246970674,221.7600099562,3.5499805701
222.2300099793,3.2675124278,222.2300099793,19.1319551023,222.2300099793,9.1100709198,222.2300099793,3.9892686214,222.2300099793,4.0339659602
222.7000099987,3.7106019093,222.7000099987,20.0855591756,222.7000099987,9.8943908458,222.7000099987,4.5229198521,222.7000099987,4.5229198521
223.1700100211,4.2941641012,223.1700100211,21.3139047637,223.1700100211,10.8535137319,223.1700100211,5.1630649614,223.1700100211,5.112693897
223.6400100432,4.9916453913,223.6400100432,22.4155487085,223.6400100432,11.7004876107,223.6400100432,5.8963309819,223.6400100432,5.7624799289
224.100010062,5.633307671,224.100010062,23.5959745419,224.100010062,12.5766491661,224.100010062,6.7327823073,224.100010062,6.3926552985
224.5700100832,6.3103277356,224.5700100832,24.7994584568,224.5700100832,13.4389482301,224.5700100832,7.4988121638,224.5700100832,7.140355677
225.0400101058,7.1399741442,225.0400101058,25.7473432162,225.0400101058,14.4514472953,225.0400101058,8.30264635,225.0400101058,7.9881809142
225.5100101256,7.8621503094,225.5100101256,26.9367365558,225.5100101256,15.3666800871,225.5100101256,9.1437926513,225.5100101256,8.716649068
225.9800101469,8.7776874197,225.9800101469,27.9734904267,225.9800101469,16.4392298743,225.9800101469,10.1611966498,225.9800101469,9.5752649433
226.4400101687,9.6721490212,226.4400101687,28.7337091474,226.4400101687,17.3618348706,226.4400101687,11.2286915511,226.4400101687,10.4359101439
226.9100101877,10.5341189616,226.9100101877,29.4983753426,226.9100101877,18.3041199313,226.9100101877,12.2670853685,226.9100101877,11.4394890415
227.3800102108,11.355467694,227.3800102108,30.1499792095,227.3800102108,19.1239153409,227.3800102108,13.0693844293,227.3800102108,12.2545715551
227.8500102322,12.3566165632,227.8500102322,30.6852799875,227.8500102322,19.9095864455,227.8500102322,14.0563634548,227.8500102322,13.1730458123
228.3100102517,13.2778504379,228.3100102517,31.5299883013,228.3100102517,20.7095551114,228.3100102517,15.0341595764,228.3100102517,14.0811727607
228.7800102736,14.2270536128,228.7800102736,31.7660465128,228.7800102736,21.3695093724,228.7800102736,16.12623205,228.7800102736,15.1828838492
229.2500102948,15.1627824655,229.2500102948,32.2472370144,229.2500102948,21.9356089636,229.2500102948,17.0726378742,229.2500102948,16.1469886137
229.7200103164,15.9945269831,229.7200103164,32.5450512354,229.7200103164,22.4555665537,229.7200103164,17.813468539,229.7200103164,16.9139455301
230.1800103369,16.9349588573,230.1800103369,32.5378871781,230.1800103369,22.7753401825,230.1800103369,18.7546742906,230.1800103369,17.6517039158
230.6500103578,17.7606071306,230.6500103578,32.5279317532,230.6500103578,23.2493367717,230.6500103578,19.5715559064,230.6500103578,18.4929270415
231.1200103766,18.4638632388,231.1200103766,32.6404966359,231.1200103766,23.4656745543,231.1200103766,20.4024219683,231.1200103766,19.3030237951
231.5900103979,19.1778360728,231.5900103979,32.3252601128,231.5900103979,23.6821300209,231.5900103979,21.1977564091,231.5900103979,19.8876284437
232.0500104196,19.9517966388,232.0500104196,31.8947666647,232.0500104196,23.9007562512,232.0500104196,21.7569464134,232.0500104196,20.4802981772
